run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 112000, 'sps': '29.6', 'episodes': 560, 'phi/obj': '-0.0002843', 'sac/actor_loss': '-69.96', 'sac/alpha': '0.04523', 'sac/q_loss': '9.688', 'sac/reward_mean': '0.4413'}
{'step': 113000, 'sps': '29.6', 'episodes': 565, 'phi/obj': '-0.0002885', 'sac/actor_loss': '-69.84', 'sac/alpha': '0.04575', 'sac/q_loss': '10.18', 'sac/reward_mean': '0.4373'}
{'step': 114000, 'sps': '29.6', 'episodes': 570, 'phi/obj': '-0.0002839', 'sac/actor_loss': '-69.77', 'sac/alpha': '0.04592', 'sac/q_loss': '9.688', 'sac/reward_mean': '0.4348'}
{'step': 115000, 'sps': '29.6', 'episodes': 575, 'phi/obj': '-0.0002867', 'sac/actor_loss': '-69.46', 'sac/alpha': '0.0455', 'sac/q_loss': '10.54', 'sac/reward_mean': '0.428'}
{'step': 116000, 'sps': '29.6', 'episodes': 580, 'phi/obj': '-0.0002941', 'sac/actor_loss': '-69.23', 'sac/alpha': '0.04543', 'sac/q_loss': '11.18', 'sac/reward_mean': '0.4027'}
{'step': 117000, 'sps': '29.6', 'episodes': 585, 'phi/obj': '-0.0002878', 'sac/actor_loss': '-68.97', 'sac/alpha': '0.0445', 'sac/q_loss': '10.52', 'sac/reward_mean': '0.4056'}
{'step': 118000, 'sps': '29.6', 'episodes': 590, 'phi/obj': '-0.000285', 'sac/actor_loss': '-69.04', 'sac/alpha': '0.04454', 'sac/q_loss': '10.47', 'sac/reward_mean': '0.416'}
{'step': 119000, 'sps': '29.6', 'episodes': 595, 'phi/obj': '-0.0002886', 'sac/actor_loss': '-68.93', 'sac/alpha': '0.04443', 'sac/q_loss': '10.14', 'sac/reward_mean': '0.4226'}
{'step': 120000, 'sps': '29.6', 'episodes': 600, 'phi/obj': '-0.0002894', 'sac/actor_loss': '-68.52', 'sac/alpha': '0.04491', 'sac/q_loss': '10.83', 'sac/reward_mean': '0.3974'}
{'step': 121000, 'sps': '29.5', 'episodes': 605, 'phi/obj': '-0.0002932', 'sac/actor_loss': '-68.42', 'sac/alpha': '0.04443', 'sac/q_loss': '11.58', 'sac/reward_mean': '0.3823'}
