run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 116000, 'sps': '31.1', 'episodes': 580, 'phi/obj': '0.9777', 'sac/actor_loss': '-96.52', 'sac/alpha': '0.002454', 'sac/q_loss': '0.08332', 'sac/reward_mean': '0.9792'}
{'step': 117000, 'sps': '31.1', 'episodes': 585, 'phi/obj': '0.9776', 'sac/actor_loss': '-96.55', 'sac/alpha': '0.002295', 'sac/q_loss': '0.05914', 'sac/reward_mean': '0.979'}
{'step': 118000, 'sps': '31.1', 'episodes': 590, 'phi/obj': '0.973', 'sac/actor_loss': '-96.53', 'sac/alpha': '0.002441', 'sac/q_loss': '0.06607', 'sac/reward_mean': '0.9746'}
{'step': 119000, 'sps': '31.1', 'episodes': 595, 'phi/obj': '0.972', 'sac/actor_loss': '-96.53', 'sac/alpha': '0.002747', 'sac/q_loss': '0.06406', 'sac/reward_mean': '0.9739'}
{'step': 120000, 'sps': '31.1', 'episodes': 600, 'phi/obj': '0.9753', 'sac/actor_loss': '-96.51', 'sac/alpha': '0.002521', 'sac/q_loss': '0.05495', 'sac/reward_mean': '0.9769'}
{'step': 121000, 'sps': '31.1', 'episodes': 605, 'phi/obj': '0.9755', 'sac/actor_loss': '-96.49', 'sac/alpha': '0.002388', 'sac/q_loss': '0.05186', 'sac/reward_mean': '0.9771'}
{'step': 122000, 'sps': '31.1', 'episodes': 610, 'phi/obj': '0.9748', 'sac/actor_loss': '-96.48', 'sac/alpha': '0.002417', 'sac/q_loss': '0.05026', 'sac/reward_mean': '0.9763'}
{'step': 123000, 'sps': '31.1', 'episodes': 615, 'phi/obj': '0.976', 'sac/actor_loss': '-96.47', 'sac/alpha': '0.002418', 'sac/q_loss': '0.0481', 'sac/reward_mean': '0.9775'}
{'step': 124000, 'sps': '31.1', 'episodes': 620, 'phi/obj': '0.9743', 'sac/actor_loss': '-96.47', 'sac/alpha': '0.002454', 'sac/q_loss': '0.04789', 'sac/reward_mean': '0.9759'}
{'step': 125000, 'sps': '31.1', 'episodes': 625, 'phi/obj': '0.973', 'sac/actor_loss': '-96.48', 'sac/alpha': '0.002478', 'sac/q_loss': '0.05162', 'sac/reward_mean': '0.9746'}
